code	english	code	malay
1277	I have to go to sleep.	720364	Saya harus pergi tidur.
1326	Are you sure?	974220	Adakah anda pasti?
1337	When I grow up, I want to be a king.	720366	Saya ingin menjadi seorang raja apabila saya menjadi dewasa.
1430	I will play Sudoku then instead of continuing to bother you.	960957	Elok saya bermain Sudoku dan tidak mengganggu anda lagi.
1666	I have lost my wallet.	372563	Dompet saya sudah hilang.
1712	I have a headache.	972145	Saya sedang pening kepala.
1839	Hey, look, a three-headed monkey!	1467004	Eh, tengok, monyet berkepala tiga!
2066	What are you talking about?	2883750	Apa yang kamu cakapkan ini?
2089	He's sleeping like a baby.	2409657	Dia tidur seperti anak kecil.
2216	Don't forget about us!	372559	Jangan lupakan kami!
2263	The functions sine and cosine take values between -1 and 1 (-1 and 1 included).	723247	Fungsi sinus dan kosinus mengabil nilai antara -1 dan 1 (termasuk -1 dan 1).
2348	The early bird catches the worm.	971818	Siapa cepat, dia dapat.
2424	Don't forget the ticket.	720156	Jangan lupa tiket!
16216	You broke the rule.	971913	Kamu telah melanggar peraturan.
16263	What do you want to be?	971982	Apa yang anda ingin menjadi?
16675	Have you read this book already?	992056	Anda telah baca buku ini?
16883	Your driver's license has expired.	974217	Lesen memandu anda telah tamat tempohnya.
17389	We are worried about you.	720037	Kita merasa bimbang terhadap anda.
17927	If you could only speak English, you would be perfect.	972033	Jika anda boleh bertutur dalam bahasa Inggeris, anda akan menjadi sempurna.
18185	I'll drive you to the airport.	720221	Saya akan memandu anda ke lapangan terbang.
18275	The sky is blue.	342112	Langit berwarna biru.
19142	Oh! Show it to me please.	372560	Oh! Sila tunjukkan kepada saya.
19872	The house which stands on the hill is very old.	960986	Rumah itu yang berdiri di atas bukit sudah terlalu lama.
20526	Now, the situation is out of hand.	1267501	Sekarang, situasi sudah tidak terkawal.
20754	Wash your face.	723276	Cuci muka anda.
21376	The student left without saying anything.	1230414	Pelajar itu pergi tanpa menyebut apa-apa.
21510	School begins the day after tomorrow.	720052	Sekolah bermula pada hari lusa.
22535	How many people were present at the meeting?	1230936	Berapa orang menghadiri perjumpaan itu?
23474	No other boy in our class is more studious than Jack.	2407500	Tiada budak lelaki lain dalam kelas kami yang lebih kuat belajar daripada Jack.
23804	The fire was put out before it got serious.	675639	Api telah dipadamkan sebelum sempat menjadi serius.
23837	Fire! Run!	971926	Api! Lari!
24453	I saw some monkeys climbing the tree.	1467005	Saya lihat beberapa monyet sedang memanjat pokok.
24487	I tried again and again, but I couldn't succeed.	960938	Saya mencuba beberapa kali, tetapi saya tidak boleh berjaya.
24721	Why are you so happy?	723245	Mengapa anda begitu gembira?
25108	May I say something?	720315	Boleh saya mengatakan sesuatu?
25181	Can you play any musical instruments?	961031	Boleh anda bermain sebarang alat muzik?
25524	I'm not talking to you; I'm talking to the monkey.	1467006	Saya tidak bercakap dengan kamu, saya sedang bercakap dengan monyet.
25868	Monkeys climb trees.	1467007	Monyet panjat pokok.
25870	He was scared when the monkey jumped at him.	1467008	Dia merasa takut ketika monyet melompat ke arahnya.
26318	In addition to English, he can speak French.	720034	Selain Bahasa Inggeris, dia boleh bercakap Bahasa Perancis.
27304	In general, little girls are fond of dolls.	723254	Pada umumnya, budak perempuan suka anak patung.
27445	Out of the frying pan and into the fire.	971819	Sudah basah, kehujanan pula.
27569	After much effort, he ended up with a contract.	2912767	Setelah banyak usaha, beliau berjaya mendapat kontrak.
28263	The committee consists of eight members.	1467002	Komiti ini terdiri daripada lapan ahli.
28992	How happy I am!	2759794	Saya sangat gembira!
29216	Our team lost.	720293	Pasukan kita kalah.
1356012	Lincoln's biography is read by children all around the world.	1838986	Kehidupan Lincoln dibaca oleh kanak-kanak di seluruh dunia.
30018	No city in Europe is as populous as Tokyo.	974235	Tiada bandar di Eropah bergitu ramai penduduknya seperti Tokyo.
30211	The upper part of the mountain is covered with snow.	1929827	Bahagian atas gunung itu diliputi oleh salji.
30834	If I were you, I wouldn't do a thing like that.	720063	Kalau saya anda, saya tidak akan membuat perkara begitu.
31361	There's no need to cry like a child.	751351	Tidak perlu menangis seperti anak kecil.
32531	A terrible day.	962122	Hari yang buruk.
32755	To start with, who is that man?	963291	Sebagai permulaan, siapakah lelaki itu?
33120	Here he comes.	971910	Dia datang sini sekarang.
33995	Beth was asked by her lazy boyfriend to do his history homework.	1230210	Beth diminta oleh teman lelakinya yang malas untuk membuat kerja rumah sejarahnya.
34390	There is a fork missing.	720196	Ada garpu hilang.
35267	May I see your passport, please?	1230943	Boleh saya melihat pasport anda?
35349	I ran into Mr Lynch on the bus.	720325	Saya terserempak Encik Lynch di dalam bas.
35366	I missed the bus.	972158	Saya terlepas bas.
35461	Stand the ladder against the wall.	711834	Sandarkan tangga pada dinding.
35837	You know, you made me cry.	1021780	Tahukah kamu, kamu telah membuatku menangis.
35967	Doraemon often smiles.	1465642	Doraemon biasanya senyum.
36004	How beautiful it is!	751459	Betapa cantiknya!
36088	What?	372564	Apa?
36651	Any magazine will do.	342062	Mana-mana satu majalah pun boleh.
38204	It's a good rule to look both ways before you cross the street anywhere.	972171	Ialah sebuah peraturan yang bagus untuk melihat dua-dua arah sebelum melintasi jalan raya di mana-mana sahaja.
38243	Would you like to go out to have a drink somewhere?	2826711	Adakah kamu ingin pergi minum di mana-mana?
38820	Please forgive me.	372561	Tolong maafkan saya.
39000	I opened the door and saw two boys standing side by side.	961903	Saya membuka pintu dan melihat dua budak lelaki berdiri sebelah-menyebelah.
39303	But Dad won't like it.	342092	Tetapi ayah tidak akan suka akan ini.
39629	Don't put the glass near the edge of the table.	720005	Jangan letakkan gelas dekat degan tepi meja.
39904	We finally published the book.	1008239	Kami akhirnya telah menerbitkan buku itu.
40309	Dancing is good for the figure.	960627	Menari adalah bagus untuk bentuk tubuh.
40695	Even if he is busy, he will come.	972192	Sekalipun dia sibuk, dia akan datang.
40946	Would you like me to call a taxi?	974168	Anda mahu saya tolong panggilkan teksi?
41817	Bring it to me.	372565	Bawakan kepada saya.
41992	Show me the photos, please.	974199	Sila tunjukkan saya gambar-gambar itu.
42533	It is like looking for a needle in a haystack.	972218	Ia semacam mencari kutu dalam ijuk.
42651	It's a sunflower.	974167	Ini adalah bunga matahari.
43348	The old man lived by himself.	751642	Orang tua itu tinggal seorang diri.
43796	The tree fell down by itself.	1021698	Pokok itu tumbang dengan sendirinya.
44229	The room will be painted tomorrow.	1444038	Esok, bilik tersebut akan dicat.
44744	82% - more than four-fifths - of the island's exports is agricultural produce.	1230393	Lapan-puluh dua peratus - lebih daripada empat perlima - oleh export pulau itu ialah hasil tani.
49606	Translate the passage word for word.	960971	Menterjemahkan petikan ini secara harfiah.
51482	Excuse me, I'm lost.	720190	Maafkan saya, saya tersesat.
51692	All horses are animals, but not all animals are horses.	928243	Semua kuda ialah haiwan, tetapi bukan semua haiwan ialah kuda.
51961	I haven't quite finished eating.	720096	Saya belum lagi menghabiskan makan.
52319	Should the Suez and Panama Canals be internationalized?	979810	Patutkah Terusan Suez dan Panama diantarabangsakan?
52336	Add more salt to the soup.	751552	Tambahkan lagi garam ke dalam sup.
52473	Do you know about Singapore?	2912814	Adakah kamu tahu tentang Singapura?
52531	John works hard.	963288	John bekerja keras.
53776	Jane had her hair cut short before the athletic meet.	342101	Jane telah mengguntingkan rambutnya pendek sebelum mesyuarat hari sukan.
54060	The Sahara is a vast desert.	960801	Sahara adalah padang pasir yang luas terbentang.
55057	These problems must be dealt with carefully.	963414	Masalah-masalah ini hendaklah ditangani dengan berhati-hati.
55749	Is this your bicycle?	974239	Adakah basikal ini milik anda?
55811	This is a kind of love letter.	3276542	Ini sejenis surat cinta.
57518	This box contains apples.	1230484	Kotak ini mengandungi epal.
57820	This bird can imitate the human voice.	961037	Burung ini boleh meniru suara manusia.
57843	This town is increasing in population.	992041	Bandar ini semaking meningkat dari segi jumlah penduduk.
58707	I paid cash for the car.	720322	Saya membayar kereta itu dengan wang tunai.
58768	The picture reminds me of when I was a student.	2826712	Gambar itu mengenangkan saya tentang zaman pelajar saya.
59342	This word was borrowed from French.	720101	Perkataan ini dipinjam daripada Bahasa Perancis.
59546	What do you think about this plan?	1267494	Apa pendapat anda tentang rancangan ini?
59858	This desk is used by Tom.	1465645	Meja ini diguna Tom.
60108	This song is easy to learn.	1216846	Lagu ini adalah mudah untuk dipelajari.
60257	Are there reserved seats for this film?	711819	Adakah terdapat kerusi yang ditempah untuk filem ini?
60316	May I use this word processor?	2912807	Boleh saya gunakan pemproses perkataan ini?
60350	This apple is very red.	720237	Epal itu sangat merah.
61106	This is as true of a cat as it is a dog.	1014519	Ini benar bagi kucing sebagaimana bagi anjing.
61377	This T-shirt is too small for me.	661214	T-shirt ini terlalu kecil untuk saya.
61422	As the proverb says, "Time is money."	971833	Bak kata pepatah, "Masa itu emas."
61984	I could live peacefully here.	3411526	Saya boleh hidup dengan aman di sini.
62220	Would you like some coffee?	720032	Anda mahu kopi?
62279	You've spilt your coffee.	720314	Kopi anda tertumpah.
62293	Shall I carry your coat?	720257	Boleh saya membawa kot anda?
63803	Carl showed me the gold medal.	960894	Carl menunjukkan kepada saya piala emas itu.
64370	Thank you very much for your invitation.	751442	Terima kasih banyak atas undangannya.
64930	My aunt has three children.	992054	Mak cik saya ada tiga anak.
65220	The engine died.	711810	Enjin telah mati.
65522	Our garden was full of weeds.	342061	Kebun kami telah dipenuhi oleh rumput liar.
65534	My son is taller than me.	960845	Anak saya lebih tinggi daripada saya.
65734	Intel gets a huge royalty from the invention.	751595	Intel mendapat royalti besar dari penemuan itu.
65989	When were you born?	720296	Bila anda dilahirkan?
66036	When did you open your new store?	1230122	Bila anda membukai kedai baru anda?
